iter	Passed	Remaining
839	6709	1278
840	6717	1270
841	6725	1262
842	6733	1254
843	6741	1245
844	6748	1237
845	6756	1229
846	6764	1221
847	6772	1213
848	6780	1205
849	6787	1197
850	6794	1189
851	6802	1181
852	6809	1173
853	6816	1165
854	6824	1157
855	6831	1149
856	6839	1141
857	6846	1133
858	6853	1125
859	6861	1116
860	6868	1108
861	6876	1100
862	6883	1092
863	6891	1084
864	6898	1076
865	6905	1068
866	6912	1060
867	6920	1052
868	6927	1044
869	6934	1036
870	6942	1028
871	6949	1020
872	6956	1012
873	6964	1003
874	6971	995
875	6978	987
876	6986	979
877	6993	971
878	7001	963
879	7008	955
880	7016	947
881	7023	939
882	7030	931
883	7037	923
884	7044	915
885	7052	907
886	7059	899
887	7066	891
888	7074	883
889	7081	875
890	7088	867
891	7095	859
892	7104	851
893	7111	843
894	7118	835
895	7126	827
896	7133	819
897	7140	811
898	7147	803
899	7155	795
900	7163	787
901	7170	779
902	7177	770
903	7184	762
904	7191	754
905	7199	746
906	7206	738
907	7214	730
908	7221	722
909	7229	715
910	7237	707
911	7244	699
912	7252	691
913	7259	683
914	7267	675
915	7274	667
916	7281	659
917	7288	651
918	7296	643
919	7304	635
920	7312	627
921	7319	619
922	7326	611
923	7333	603
924	7340	595
925	7347	587
926	7355	579
927	7362	571
928	7370	563
929	7377	555
930	7384	547
931	7392	539
932	7399	531
933	7406	523
934	7414	515
935	7421	507
936	7428	499
937	7436	491
938	7443	483
939	7451	475
940	7458	467
941	7466	459
942	7473	451
943	7482	443
944	7489	435
945	7496	427
946	7503	419
947	7510	411
948	7518	404
949	7525	396
950	7532	388
951	7539	380
952	7547	372
953	7554	364
954	7561	356
955	7569	348
956	7576	340
957	7583	332
958	7590	324
959	7597	316
960	7605	308
961	7614	300
962	7622	292
963	7630	284
964	7639	277
965	7647	269
966	7656	261
967	7665	253
968	7674	245
969	7682	237
970	7690	229
971	7698	221
972	7707	213
973	7749	206
974	7761	199
975	7769	191
976	7777	183
977	7784	175
978	7791	167
979	7798	159
980	7806	151
981	7813	143
982	7821	135
983	7829	127
984	7837	119
985	7845	111
986	7853	103
987	7860	95
988	7868	87
989	7875	79
990	7882	71
991	7895	63
992	7905	55
993	7913	47
994	7920	39
995	7927	31
996	7935	23
997	7943	15
998	7952	7
999	7959	0
